CJ_HeightDiff,CJ_Gracew,CJ_Fw,CJ_Sw,CJ_Dw,CJ_Frame,CJ_PosZ,CJ_PosX,,SJ_HeightDiff,SJ_Gracew,SJ_Fw,SJ_Frame,SJ_PosZ,SJ_PosX,,
-780,11,53,53,66,225,-845.6136423,1887.011,,-780,11,82,161,-843.5294593,2006.841083,,119.8300833
-790,11,54,54,66,226,-855.5080087,1892.603,,-790,11,80,162,-852.1224604,2011.049167,,118.4461667
-800,11,52,54,67,226,-865.8323832,1897.957333,,-800,11,82,162,-861.2891264,2017.132667,,119.1753333
-810,11,55,54,65,228,-875.9031066,1903.806,,-810,11,81,163,-874.8821271,2024.3825,,120.5765
-820,11,53,54,66,228,-885.8733235,1909.160333,,-820,11,83,163,-884.8821264,2030.466,,121.3056667
-830,11,54,55,66,229,-895.3510201,1914.752333,,-830,11,81,164,-893.891794,2034.674083,,119.92175
-840,11,56,55,66,230,-905.662046,1920.344333,,-840,11,83,164,-903.0584601,2040.757583,,120.41325
-850,11,53,56,67,230,-915.9864271,1925.698667,,-850,11,85,164,-915.5584593,2046.841083,,121.1424167
-860,11,55,56,67,231,-925.4641268,1931.290667,,-860,11,83,165,-921.6514604,2051.049167,,119.7585
-870,11,53,56,68,231,-935.7260105,1936.645,,-870,11,85,165,-933.3181265,2057.132667,,120.4876667
-880,11,55,56,68,232,-945.2037102,1942.237,,-880,11,84,166,-945.6611271,2064.3825,,122.1455
-890,11,55,55,67,233,-955.8294513,1947.848,,-890,11,85,166,-951.4944602,2067.42425,,119.57625
-900,11,55,56,69,233,-965.2974602,1953.183333,,-900,11,84,167,-964.670794,2074.674083,,121.49075
-910,11,55,55,68,234,-975.5690346,1958.794333,,-910,11,85,167,-970.0874604,2077.715833,,118.9215
-920,11,56,56,68,235,-985.8800549,1964.386333,,-920,11,84,168,-984.0971275,2084.965667,,120.5793333
-930,11,55,55,69,235,-995.6627846,1969.740667,,-930,11,86,168,-994.9304605,2091.049167,,121.3085
-940,11,56,56,69,236,-1005.973805,1975.332667,,-940,11,84,169,-1003.940128,2095.25725,,119.9245833
-950,11,56,56,68,237,-1015.880055,1979.869,,-950,11,86,169,-1013.940127,2101.34075,,121.47175
-960,11,56,57,70,237,-1025.223062,1985.204333,,-960,11,84,170,-1024.199794,2105.548833,,120.3445
-970,11,56,56,69,238,-1035.973805,1990.815333,,-970,11,86,170,-1033.366461,2111.632333,,120.817
-980,11,57,56,71,238,-1045.60848,1996.150667,,-980,11,88,170,-1045.86646,2117.715833,,121.5651667
-990,11,56,55,72,238,-1055.620379,2001.505,,-990,11,86,171,-1053.209461,2121.923917,,120.4189167
-1000,11,57,58,70,240,-1065.950743,2006.279,,-1000,11,88,171,-1064.876127,2128.007417,,121.7284167
-1010,11,56,57,71,240,-1075.191812,2011.633333,,-1010,11,86,172,-1073.469128,2132.2155,,120.5821667
-1020,11,56,55,72,240,-1085.620379,2016.987667,,-1020,11,88,172,-1084.302461,2138.299,,121.3113333
-1030,11,57,56,72,241,-1095.931397,2022.579667,,-1030,11,86,173,-1094.145461,2142.507083,,119.9274167
-1040,11,57,56,71,242,-1105.60848,2027.116,,-1040,11,88,173,-1104.145461,2148.590583,,121.4745833
-1050,11,57,57,73,242,-1115.826487,2032.451333,,-1050,11,86,174,-1115.238461,2152.798667,,120.3473333
-1060,11,56,58,72,243,-1125.149401,2036.987667,,-1060,11,88,174,-1124.405128,2158.882167,,121.8945
-1070,11,58,58,72,244,-1135.877083,2042.579667,,-1070,11,89,174,-1130.238461,2161.923917,,119.34425
-1080,11,57,57,73,244,-1145.826487,2047.934,,-1080,11,88,175,-1145.081461,2169.17375,,121.23975
-1090,11,57,57,72,245,-1155.982737,2052.470333,,-1090,11,89,175,-1150.498128,2172.2155,,119.7451667
-1100,11,58,57,74,245,-1165.659078,2057.805667,,-1100,11,91,175,-1163.831461,2178.299,,120.4933333
-1110,11,57,58,73,246,-1175.044493,2062.342,,-1110,11,89,176,-1171.174461,2182.507083,,120.1650833
-1120,11,58,57,72,247,-1185.617411,2066.878333,,-1120,11,91,176,-1183.674461,2188.590583,,121.71225
-1130,11,57,59,74,247,-1195.293747,2072.213667,,-1130,11,89,177,-1192.267461,2192.798667,,120.585
-1140,11,57,57,75,247,-1205.534821,2077.568,,-1140,11,91,177,-1203.934128,2198.882167,,121.3141667
-1150,11,59,59,73,249,-1215.82351,2082.342,,-1150,11,89,178,-1213.777128,2203.09025,,120.74825
-1160,11,58,57,76,248,-1225.659078,2087.439667,,-1160,11,91,178,-1224.610461,2209.17375,,121.7340833
-1170,11,57,58,75,249,-1235.169493,2091.976,,-1170,11,89,179,-1235.703461,2213.381833,,121.4058333
-1180,11,59,58,75,250,-1245.897172,2097.568,,-1180,11,91,179,-1245.703461,2219.465333,,121.8973333
-1190,11,57,59,76,250,-1255.710414,2101.847667,,-1190,11,92,179,-1251.953461,2222.507083,,120.6594167
-1200,11,57,59,75,251,-1265.637497,2106.384,,-1200,11,90,180,-1262.213128,2226.715167,,120.3311667
-1210,11,59,59,75,252,-1275.94851,2111.976,,-1210,11,92,180,-1273.046461,2232.798667,,120.8226667
-1220,11,58,59,76,252,-1284.928421,2116.255667,,-1220,11,90,181,-1284.556128,2237.00675,,120.7510833
-1230,11,58,59,75,253,-1295.688837,2120.792,,-1230,11,92,181,-1294.556128,2243.09025,,122.29825
-1240,11,59,59,77,253,-1305.406843,2126.127333,,-1240,11,93,181,-1300.806128,2246.132,,120.0046667
-1250,11,58,60,76,254,-1315.813091,2130.663667,,-1250,11,95,181,-1315.806128,2252.2155,,121.5518333
-1260,11,60,61,76,255,-1325.75877,2135.181,,-1260,11,93,182,-1322.315795,2256.423583,,121.2425833
-1270,11,59,60,77,255,-1335.874846,2140.535333,,-1270,11,91,183,-1334.242128,2260.631667,,120.0963333
-1280,11,60,59,76,256,-1345.864431,2145.071667,,-1280,11,93,183,-1344.242128,2266.715167,,121.6435
-1290,11,58,60,77,256,-1355.615174,2149.351333,,-1290,11,94,183,-1350.492128,2269.756917,,120.4055833
-1300,11,59,62,77,257,-1365.977518,2153.868667,,-1300,11,96,183,-1365.492128,2275.840417,,121.97175
-1310,11,59,60,78,257,-1375.61443,2159.223,,-1310,11,94,184,-1372.418461,2280.0485,,120.8255
-1320,11,58,60,79,257,-1385.656841,2163.502667,,-1320,11,92,185,-1384.761461,2284.256583,,120.7539167
-1330,11,61,61,77,259,-1395.61219,2168.276667,,-1330,11,94,185,-1394.761461,2290.340083,,122.0634167
-1340,11,59,62,78,259,-1405.717101,2172.556333,,-1340,11,95,185,-1401.011461,2293.381833,,120.8255
-1350,11,60,59,79,259,-1415.708181,2177.910667,,-1350,11,93,186,-1412.521128,2297.589917,,119.67925
-1360,11,59,59,80,259,-1425.688093,2182.190333,,-1360,11,95,186,-1423.354461,2303.673417,,121.4830833
-1370,11,61,61,78,261,-1435.76844,2186.964333,,-1370,11,96,186,-1430.021128,2306.715167,,119.7508333
-1380,11,60,61,79,261,-1444.97752,2191.244,,-1380,11,98,186,-1445.854461,2312.798667,,121.5546667
-1390,11,61,60,78,262,-1455.925437,2195.780333,,-1390,11,96,187,-1452.364128,2317.00675,,121.2264167
-1400,11,62,62,78,263,-1465.871111,2200.297667,,-1400,11,94,188,-1464.290461,2321.214833,,120.9171667
-1410,11,60,63,79,263,-1475.913524,2204.577333,,-1410,11,96,188,-1475.123795,2327.298333,,122.721
-1420,11,61,60,80,263,-1485.842104,2209.931667,,-1420,11,97,188,-1481.790461,2330.340083,,120.4084167
-1430,11,60,60,81,263,-1495.759517,2214.211333,,-1430,11,95,189,-1492.883461,2334.548167,,120.3368333
-1440,11,62,61,81,264,-1505.705193,2218.728667,,-1440,11,97,189,-1504.550128,2340.631667,,121.903
-1450,11,61,62,80,265,-1515.944775,2223.265,,-1450,11,98,189,-1511.633461,2343.673417,,120.4084167
-1460,11,60,62,81,265,-1525.862189,2227.544667,,-1460,11,96,190,-1521.893128,2347.8815,,120.3368333
-1470,11,60,61,82,265,-1535.300437,2231.824333,,-1470,11,98,190,-1534.393128,2353.965,,122.1406667
